date,n1,n2,n3,n4,n5,n6
2019-09-18,33,29,11,4,16,22
2019-09-14,60,51,21,28,2,17
2019-09-11,16,21,50,10,46,11
2019-09-09,27,19,12,41,18,46
2019-09-04,19,42,18,47,22,9
2019-08-31,51,15,52,36,59,45
2019-08-28,51,13,43,30,34,26
2019-08-24,59,47,46,19,39,22
2019-08-21,8,1,19,48,36,33
2019-08-17,16,12,10,21,28,38
2019-08-14,24,2,35,54,50,13
2019-08-10,16,21,42,2,50,56
2019-08-08,14,9,48,11,31,51
2019-08-06,23,8,25,43,39,44
2019-08-03,55,53,7,32,43,25
2019-07-31,36,10,34,15,60,56
2019-07-27,9,48,44,42,2,50
2019-07-24,9,57,43,37,28,24
2019-07-20,19,12,13,36,55,44
2019-07-17,36,21,51,10,24,38
2019-07-13,45,7,34,59,51,54
2019-07-11,37,25,29,4,1,27
2019-07-09,37,45,38,43,54,27
2019-07-06,44,3,34,56,19,58
2019-07-03,56,49,54,43,5,37
2019-06-29,48,17,58,47,16,25
2019-06-26,45,20,24,36,18,8
2019-06-22,11,30,42,34,16,22
2019-06-19,24,10,8,44,9,42
2019-06-15,53,49,1,46,47,19
2019-06-12,53,35,38,14,45,26
2019-06-08,9,27,46,59,35,45
2019-06-05,34,48,31,39,33,35
2019-06-01,49,39,23,6,26,1
2019-05-29,37,44,2,27,6,47
2019-05-25,53,41,47,50,7,25
2019-05-22,13,28,31,8,33,32
2019-05-18,49,36,29,26,59,50
2019-05-15,36,38,2,29,14,18
2019-05-11,38,24,23,26,42,49
2019-05-08,21,48,46,23,44,37
2019-05-04,59,33,8,58,32,15
2019-05-02,49,42,17,19,37,41
2019-04-27,39,42,16,18,44,31
2019-04-24,6,59,28,8,51,53
2019-04-20,21,33,55,16,7,60
2019-04-17,12,58,35,51,2,57
2019-04-13,44,50,52,57,7,40
2019-04-10,10,19,11,37,41,17
2019-04-06,20,54,36,17,42,26
2019-04-03,58,29,23,41,14,57
2019-03-30,30,34,4,21,13,14
2019-03-27,2,1,49,11,12,34
2019-03-23,35,22,11,1,30,8
2019-03-20,23,48,59,28,40,9
2019-03-16,54,6,46,21,59,34
2019-03-13,26,20,19,51,52,57
2019-03-09,5,60,18,39,35,30
2019-03-06,28,18,20,6,2,3
2019-03-02,13,53,16,36,55,54
2019-02-28,60,46,12,6,32,31
2019-02-26,24,55,46,16,11,54
2019-02-23,7,46,28,30,44,1
